otu	sample	abundance	participant_id	study_week	semester	supplement_consumed	frequency	final_weight	phylum	class	order	family	genus
sv-1211:U108-6_S245_L001_001	U525_3	0.007017543859649123	U525	week1	Winter2018	BRMPS	2xdaily	NA	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U525_2	0.004469273743016759	U525	week1	Winter2018	BRMPS	2xdaily	0.65	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U525_5	0.003355704697986577	U525	week3	Winter2018	BRMPS	2xdaily	0.64	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U129_2	0.0031282586027111575	U129	week1	Winter2016	BRMPS	2xdaily	0.61	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U525_1	0.0021691973969631237	U525	week1	Winter2018	BRMPS	2xdaily	0.54	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U525_6	0.0021668472372697724	U525	week3	Winter2018	BRMPS	2xdaily	0.67	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U129_3	0.002074688796680498	U129	week1	Winter2016	BRMPS	2xdaily	0.6	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U525_4	0.0011111111111111111	U525	week3	Winter2018	BRMPS	2xdaily	0.61	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U273_3	0.001091703056768559	U273	week1	Fall2016	BRMPS	1xdaily	0.23	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-1211:U108-6_S245_L001_001	U129_4	0.0010526315789473684	U129	week1	Winter2016	BRMPS	2xdaily	0.61	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
sv-2691:U283-4_S236_L001_001	U185_1	0.0012285012285012285	U185	week1	Winter2016	BRMPS	2xdaily	0.67	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
sv-2691:U283-4_S236_L001_001	U269_3	0.0011904761904761906	U269	week1	Fall2016	BRMPS	1xdaily	0.42	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
sv-2691:U283-4_S236_L001_001	U269_1	0.001148105625717566	U269	week1	Fall2016	BRMPS	1xdaily	0.61	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
sv-2691:U283-4_S236_L001_001	U516_2	0.0011337868480725624	U516	week1	Winter2018	BRMPS	2xdaily	0.34	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
sv-106:U390-3_S302_L001_001	U273_6	0.14648212226066898	U273	week3	Fall2016	BRMPS	1xdaily	0.29	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U273_5	0.12342857142857143	U273	week3	Fall2016	BRMPS	1xdaily	0.24	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U165_1	0.09918200408997956	U165	week1	Winter2016	BRMPS	2xdaily	0.59	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U273_2	0.09487459105779716	U273	week1	Fall2016	BRMPS	1xdaily	0.4	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U273_1	0.08251900108577633	U273	week1	Fall2016	BRMPS	1xdaily	0.3	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U273_3	0.07205240174672489	U273	week1	Fall2016	BRMPS	1xdaily	0.23	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
sv-106:U390-3_S302_L001_001	U165_6	0.07061266874350987	U165	week3	Winter2016	BRMPS	2xdaily	0.17	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
